keggid,name,formula,pubchemID,smile,fp,cid
cpd:C00325,GDP-L-fucose,C16H25N5O15P2,3619,C[C@H]1[C@H]([C@H]([C@@H]([C@H](O1)OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=NC4=C3N=C(NC4=O)N)O)O)O)O)O,00000000000000000000000001000100000000100001000010000110010000100100010010010101100111000111100111100110011001101100010011111111001111011101101101101011111111111111110,135398655.0
cpd:C00577,D-Glyceraldehyde,C3H6O3,3856,C([C@H](C=O)O)O,00000000000000000000000000000000000000000000000000000010000000000000000010000000001000000100000000000000100001000000000000000000000110000001000000100000111101010000100,79014.0
cpd:C03979,2-Dehydro-3-deoxy-L-rhamnonate,C6H10O5,6696,C[C@@H]([C@@H](CC(=O)C(=O)O)O)O,00000000000000000000000000000000000000000000000000000010000000000000000010000000000000000110000000000000100000000000100000010000000110001001100000100000101101011000100,6857359.0
cpd:C00424,(S)-Lactaldehyde,C3H6O2,3714,C[C@@H](C=O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000000000000000000000001000000000000101001011000100,439231.0
cpd:C01720,L-Fuconate,C6H12O6,4857,C[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000100000000000000000000000000000000010000000100000001100000100000101001011000100,439545.0
cpd:C20781,"2,4-Diketo-3-deoxy-L-fuconate",C6H8O5,254741248,C[C@@H](C(=O)CC(=O)C(=O)O)O,00000000000000000000000000000000000000000000000000000000000000000000000010000000000000000110000000000000000000000000100000010000000110001001100000100000101101011000100,50986246.0
cpd:C01286,2-Dehydro-3-deoxy-6-phospho-D-galactonate,C6H11O9P,4505,C([C@H]([C@@H](COP(=O)(O)O)O)O)C(=O)C(=O)O,00000000000000000000000000000100000000000001000010000010000000000000010010000000000000000110000000000010101001001000000000011010011110001001100000101000111101010000100,5459949.0
cpd:C01216,2-Dehydro-3-deoxy-D-galactonate,C6H10O6,4438,C([C@H]([C@@H](CO)O)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000010110001001100000100000111101010000100,194024.0
cpd:C00880,D-Galactonate,C6H12O7,4136,C([C@H]([C@@H]([C@@H]([C@H](C(=O)O)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000001000000111000000000000100001000000000000010000000110000001100000100000111101010000100,128869.0
cpd:C00052,UDP-alpha-D-galactose,C15H24N2O17P2,3354,C1=CN(C(=O)NC1=O)C2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O,00000000000000000000000000000100000001000000000010000110010000100100010010010100101101000111100111100010001001101100010011111011001111001111101111101011111111110111110,23724458.0
cpd:C01825,L-Galactose,C6H12O6,4948,C([C@H]1[C@H]([C@H]([C@@H](C(O1)O)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001000000111000000100000000001000000000000010001000110000101100100100010110101010001110,12003287.0
cpd:C00818,D-Glucarate,C6H10O8,4076,[C@H]([C@@H]([C@@H](C(=O)O)O)O)([C@H](C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000100000000000000000000000000000000010000000100001001100000100000101001010000100,33037.0
cpd:C00879,D-Galactarate,C6H10O8,4135,[C@@H]([C@@H]([C@H](C(=O)O)O)O)([C@@H](C(=O)O)O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000100000000000000000000000000000000010000000100001001100000100000101001010000100,3037582.0
cpd:C00679,5-Dehydro-4-deoxy-D-glucarate,C6H8O7,3948,C([C@@H]([C@H](C(=O)O)O)O)C(=O)C(=O)O,00000000000000000000000000000000000000000000000000000110000000000000000010000000000000000111000000000000100000000000000000010000000110001001100000100000101101010000100,439290.0
cpd:C01040,"L-Gulono-1,4-lactone",C6H10O6,4282,C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O,00000000000000000000000000000000000000000000000000000110010000000000000010000000001100000101000010000000100001000000000000010001000110000101100100100010111101010000110,439373.0
